Accession	Kingdom			
WP_035199325.1	Bacteria			
WP_061198537.1	Bacteria			
WP_132727533.1	Bacteria			
AAN62156.1	Bacteria			
WP_134560360.1	Bacteria			
WP_003120003.1	Bacteria			
NZ_CP008865.2_2372	Bacteria 			
NZ_CP008866.2_2516	Bacteria 			
NZ_CP008873.1_5212	Bacteria 			
MBG5279141.1	Bacteria			
WP_049253691.1	Bacteria			
MBG4557696.1	Bacteria			
6Q1H_A	Bacteria			
WP_005408888.1	Bacteria			
WP_061193800.1	Bacteria			
WP_124102865.1	Bacteria			
WP_003050273.1	Bacteria 			
NC_007973.1_2369	Bacteria 			
NC_008782.1_1308	Bacteria 			
NC_011770.1_2794	Bacteria 			
NC_017671.1_1584	Bacteria 			
NC_017958.1_59	Bacteria 			
NC_018080.1_2433	Bacteria 			
NC_021285.1_991	Bacteria 			
NC_023066.1_2736	Bacteria 			
NC_023149.1_2347	Bacteria 			
NZ_AP014839.1_2353	Bacteria 			
NZ_AP018560.1_543	Bacteria 			
NZ_CM001020.1_2941	Bacteria 			
NZ_CP006980.1_2725	Bacteria 			
NZ_CP006981.1_2657	Bacteria 			
NZ_CP006982.1_2801	Bacteria 			
NZ_CP006983.1_2723	Bacteria 			
NZ_CP006984.1_2722	Bacteria 			
NZ_CP006985.1_2710	Bacteria 			
NZ_CP008857.1_419	Bacteria 			
NZ_CP008864.2_3170	Bacteria 			
NZ_CP008871.2_2594	Bacteria 			
NZ_CP010555.1_1306	Bacteria 			
NZ_CP011317.1_2755	Bacteria 			
NZ_CP011857.1_2612	Bacteria 			
NZ_CP011917.1_3124	Bacteria 			
NZ_CP013113.1_2576	Bacteria 			
NZ_CP015036.1_4350	Bacteria 			
NZ_CP015117.1_5993	Bacteria 			
NZ_CP015377.1_4426	Bacteria 			
NZ_CP016955.1_4381	Bacteria 			
NZ_CP017311.1_3961	Bacteria 			
NZ_CP017353.1_5034	Bacteria 			
NZ_CP019666.1_2066	Bacteria 			
NZ_CP019678.1_1130	Bacteria 			
NZ_CP021111.1_3716	Bacteria 			
NZ_CP021648.1_3373	Bacteria 			
NZ_CP022001.1_4297	Bacteria 			
NZ_CP022001.1_5076	Bacteria 			
NZ_CP022188.1_320	Bacteria 			
NZ_CP022562.1_1555	Bacteria 			
NZ_CP023255.1_340	Bacteria 			
NZ_CP023316.1_2777	Bacteria 			
NZ_CP025030.1_150	Bacteria 			
NZ_CP025049.1_2273	Bacteria 			
